,mean Validation Error,Mean training,alpha
413,2.1894665314931907,2.15536410434055,4.14
414,2.1894669179539936,2.1553674802573877,4.1499999999999995
415,2.1894673095273167,2.155370860955558,4.16
416,2.189467706211069,2.15537424643254,4.17
417,2.1894681080031533,2.1553776366858206,4.18
418,2.189468514901484,2.1553810317128965,4.1899999999999995
419,2.1894689269039698,2.1553844315112696,4.2
420,2.189469344008525,2.1553878360784493,4.21
421,2.189469766213066,2.1553912454119524,4.22
422,2.18947019351551,2.1553946595092985,4.2299999999999995
423,2.189470625913776,2.1553980783680204,4.24
424,2.1894710634057866,2.1554015019856516,4.25
425,2.1894715059894634,2.155404930359735,4.26
426,2.1894719536627325,2.155408363487822,4.27
427,2.189472406423522,2.155411801367466,4.28
428,2.189472864269761,2.1554152439962295,4.29
429,2.189473327199379,2.155418691371683,4.3
430,2.189473795210312,2.155422143491401,4.31
431,2.1894742683004917,2.155425600352966,4.32
432,2.1894747464678574,2.155429061953964,4.33
433,2.1894752297103475,2.1554325282919917,4.34
434,2.1894757180259035,2.1554359993646495,4.35
435,2.1894762114124666,2.155439475169541,4.36
436,2.189476709867982,2.1554429557042853,4.37
437,2.1894772133903984,2.155446440966497,4.38
438,2.1894777219776618,2.1554499309538038,4.39
439,2.189478235627724,2.1554534256638362,4.3999999999999995
440,2.189478754338537,2.1554569250942346,4.41
441,2.1894792781080556,2.155460429242641,4.42
442,2.189479806934236,2.155463938106703,4.43
443,2.1894803408150354,2.1554674516840793,4.4399999999999995
444,2.1894808797484173,2.1554709699724315,4.45
445,2.1894814237323397,2.1554744929694243,4.46
446,2.189481972764769,2.155478020672737,4.47
447,2.1894825268436717,2.155481553080043,4.4799999999999995
448,2.189483085967013,2.15548509018903,4.49
449,2.1894836501327655,2.15548863199739,4.5
450,2.1894842193388993,2.1554921785028185,4.51
451,2.1894847935833877,2.1554957297030155,4.52
452,2.1894853728642074,2.1554992855956923,4.53
453,2.189485957179336,2.1555028461785635,4.54
454,2.1894865465267515,2.1555064114493443,4.55
455,2.189487140904437,2.155509981405762,4.56
456,2.189487740310374,2.1555135560455474,4.57
457,2.189488344742551,2.155517135366436,4.58
458,2.18948895419895,2.1555207193661685,4.59
459,2.189489568677563,2.1555243080424917,4.6
460,2.1894901881763813,2.155527901393162,4.61
461,2.1894908126933945,2.15553149941593,4.62
462,2.1894914422266014,2.1555351021085642,4.63
463,2.189492076773996,2.155538709468831,4.64
464,2.189492716333578,2.1555423214945058,4.6499999999999995
465,2.189493360903348,2.155545938183363,4.66
466,2.1894940104813054,2.155549559533193,4.67
467,2.1894946650654585,2.15555318554178,4.68
468,2.1894953246538114,2.1555568162069223,4.6899999999999995
469,2.189495989244371,2.1555604515264175,4.7
470,2.1894966588351497,2.155564091498075,4.71
471,2.189497333424157,2.1555677361196968,4.72
472,2.1894980130094077,2.1555713853891048,4.7299999999999995
473,2.1894986975889186,2.1555750393041184,4.74
474,2.189499387160706,2.15557869786256,4.75
475,2.1895000817227874,2.155582361062263,4.76
